trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,row_cue.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
52,0,52,0,377.5381420000922,,,,,,,,,377.5225305999629,377.5381420000922,378.03985429997556,378.5225428000558,379.50887749996036,379.5089020000305,379.52222550008446,384.51409610011615,['v'],[0.9007615998852998],[0.05505910003557801],1,AVWH,['v'],False,379.52222550008446,384.5302333999425,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
53,0,53,0,384.5302333999425,,,,,,,,,384.5150061000604,384.5302333999425,385.0282010999508,385.53233680012636,386.5299404000398,386.5299635999836,386.5472452000249,391.5360594999511,['a'],[0.68439060007222],[0.07284920010715723],1,CCVK,['a'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
54,0,54,0,391.55401730001904,,,,,,,,,391.5378326000646,391.55401730001904,392.0536819999106,392.5198580001015,393.50674260011874,393.5067735000048,393.52162480005063,398.51167119992897,"['h', 'g']","[1.9728809997905046, 3.4999688998796046]","[0.06846090010367334, 0.08231179998256266]",1,HGIV,"['h', 'g']",False,393.52162480005063,398.52832640009,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
55,0,55,0,398.52832640009,,,,,,,,,398.5129956000019,398.52832640009,399.04290629993193,399.52952959993854,400.51387279992923,400.5138948999811,400.5310438000597,405.52232360001653,['y'],[0.7436367000918835],[0.053505699848756194],2,HNTV,['y'],False,400.5310438000597,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
56,0,56,0,405.53793950006366,,,,,,,,,405.52434320002794,405.53793950006366,406.0511710999999,406.51796189998277,407.5066092000343,407.50663810013793,407.52008219994605,412.5107485000044,['y'],[0.20981830009259284],[0.06731559988111258],1,YPDN,['y'],False,407.52008219994605,412.52855990012176,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
57,0,57,0,412.52855990012176,,,,,,,,,412.512224300066,412.52855990012176,413.0298355000559,413.52743209991604,414.5122481000144,414.5122634000145,414.52825199998915,419.52066219993867,['i'],[2.135182299884036],[0.08789249998517334],0,NHID,['i'],False,414.52825199998915,419.53689659992233,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
58,0,58,0,419.53689659992233,,,,,,,,,419.5224619000219,419.53689659992233,420.05061289994046,420.53587280004285,421.52176550007425,421.52179759996943,421.5365504999645,426.52545500011183,['x'],[1.0141206001862884],[0.07912239991128445],0,MXVF,['x'],False,421.5365504999645,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
59,0,59,0,426.542205600068,,,,,,,,,426.5268143999856,426.542205600068,427.05804280005395,427.5275606000796,428.511530400021,428.5115483000409,428.5277267000638,433.51986650004983,['u'],[0.9320508998353034],[0.094774299999699],1,VDLR,['u'],False,428.5277267000638,433.5329639001284,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
60,0,60,0,433.5329639001284,,,,,,,,,433.52124799997546,433.5329639001284,434.03337460011244,434.53509530005977,435.51915830001235,435.5191762999166,435.53465240006335,440.5241455999203,['i'],[1.2435840999241918],[0.09694930003024638],0,YBUM,['i'],False,435.53465240006335,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
61,0,61,0,440.54312000004575,,,,,,,,,440.5258395001292,440.54312000004575,441.0568377999589,441.5245157999452,442.51010580011643,442.51012589992024,442.5270539999474,447.5177800001111,['g'],[0.23091890010982752],[0.08732719998806715],0,GLVK,['g'],False,442.5270539999474,447.53214920009486,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
62,0,62,0,447.53214920009486,,,,,,,,,447.5194538999349,447.53214920009486,448.03270080010407,448.53417170001194,449.51940230000764,449.5194246999454,449.53462600009516,454.524010800058,None,,,2,EWSE,None,False,449.53462600009516,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
