trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0,33,0,134.46442470001057,,,,,,,,,134.44901189999655,134.46442470001057,134.96426390018314,135.46469549974427,136.46672620018944,136.45002740016207,136.45004290016368,136.46672620018944,138.4679811000824,138.45222009997815,"['m', 'r']","[0.10325739998370409, 0.6139575000852346]","[0.06843420024961233, 0.07816469995304942]",2,RMTR,"['m', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
34,0,34,0,138.4679811000824,,,,,,,,,138.45330209983513,138.4679811000824,138.9688077000901,139.4525139001198,140.4539034999907,140.4378149001859,140.4378335000947,140.4539034999907,142.45560189988464,142.43999999994412,"['b', 'i']","[0.144418700132519, 0.6284006000496447]","[0.0724932998418808, 0.08236500015482306]",1,BIKO,"['b', 'i']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
35,0,35,0,142.45560189988464,,,,,,,,,142.44081290019676,142.45560189988464,142.9561501997523,143.45711869979277,144.4582127998583,144.44242849992588,144.4424431999214,144.4582127998583,146.4604369001463,146.44436699990183,['p'],[0.33781850012019277],[0.07005150010809302],0,BPBY,['p'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
36,0,36,0,146.4604369001463,,,,,,,,,146.44545099977404,146.4604369001463,146.9607485998422,147.46144950017333,148.46244650008157,148.44654530007392,148.44656149996445,148.46244650008157,150.46467840019614,150.4489863999188,['e'],[0.25234160013496876],[0.10588219994679093],1,GUXM,['e'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
37,0,37,0,150.46467840019614,,,,,,,,,150.45008089998737,150.46467840019614,150.96544979978353,151.46629949985072,152.46691309986636,152.45100039988756,152.45101589988917,152.46691309986636,,154.45223330007866,"['p', 'h']","[0.4560081004165113, 1.3286272999830544]","[0.07957639964297414, 0.07210700027644634]",0,PHLW,"['p', 'h']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
38,0,38,0,154.4693009001203,,,,,,,,,154.45322240004316,154.4693009001203,154.96993680018932,155.45347929978743,156.4546523001045,156.43873649975285,156.43875769991428,156.4546523001045,158.45682370010763,158.44105219980702,"['r', 'l']","[0.4033170002512634, 0.6542739002034068]","[0.08950199978426099, 0.0701155997812748]",0,RLLC,"['r', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
39,0,39,0,158.45682370010763,,,,,,,,,158.44185779988766,158.45682370010763,158.95728169986978,159.45802169991657,160.4591922000982,160.4434291999787,160.44344370020553,160.4591922000982,162.46130189998075,162.44519330002367,['s'],[0.6862321002408862],[0.06552409986034036],1,QVHT,['s'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
40,0,40,0,162.46130189998075,,,,,,,,,162.44609150011092,162.46130189998075,162.9619362000376,163.46300379978493,164.46334020001814,164.4478043001145,164.44783530011773,164.46334020001814,166.46560649992898,166.45019919984043,['m'],[0.5496084000915289],[0.07875399990007281],2,MYUH,['m'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
41,0,41,0,166.46560649992898,,,,,,,,,166.45177830010653,166.46560649992898,166.9662432000041,167.46744529996067,168.468075199984,168.45210279989988,168.4521293998696,168.468075199984,,170.4532874999568,"['s', 'i']","[0.40901160007342696, 0.8395477999001741]","[0.08552729990333319, 0.07519169989973307]",0,GVXM,"['s', 'i']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
42,0,42,0,170.46969240019098,,,,,,,,,170.4542963001877,170.46969240019098,170.97061489988118,171.4548309999518,172.4555999999866,172.43985510012135,172.43992049992085,172.4555999999866,174.45795870013535,174.44179339986295,"['l', 'o']","[0.33106210036203265, 0.7478269003331661]","[0.08392279967665672, 0.06917449971660972]",1,LOFF,"['l', 'o']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
43,0,43,0,174.45795870013535,,,,,,,,,174.44302080012858,174.45795870013535,174.95858629979193,175.4588222000748,176.46016740007326,176.44430160010234,176.44431649986655,176.46016740007326,178.46223110007122,178.44607069995254,"['s', 'r']","[0.5589088997803628, 0.8954366999678314]","[0.09760700026527047, 0.07931450009346008]",2,PAJZ,"['s', 'r']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
44,0,44,0,178.46223110007122,,,,,,,,,178.44689380005002,178.46223110007122,178.96277499990538,179.4636496999301,180.4648234997876,180.44848999986425,180.44850479997694,180.4648234997876,182.46653860015795,182.45066369976848,"['f', 'l']","[0.5166132003068924, 0.7832492999732494]","[0.0792820998467505, 0.05627340031787753]",1,FLXR,"['f', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
45,0,45,0,182.46653860015795,,,,,,,,,182.45148599985987,182.46653860015795,182.96726070018485,183.45121459988877,184.45235869986936,184.43630839977413,184.43632389977574,184.45235869986936,186.45438269991428,186.43836170015857,"['x', 'l']","[0.6251559997908771, 1.3337017996236682]","[0.07819070015102625, 0.1089889002032578]",1,XHWZ,"['x', 'l']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
46,0,46,0,186.45438269991428,,,,,,,,,186.43945739977062,186.45438269991428,186.9550719000399,187.45558469975367,188.45666129980236,188.4404294998385,188.44044379983097,188.45666129980236,190.45881679980084,190.4428420998156,"['e', 'i']","[1.136593300383538, 1.698768500238657]","[0.08942219987511635, 0.08769309986382723]",0,PWKM,"['e', 'i']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
