trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,letter_grid.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
32,0,32,0,179.0583198000677,,,,,,,,,179.0462847999297,179.0583198000677,179.5415525001008,179.54160690004937,179.55761829996482,184.54724229988642,"['f', 'k', 't', 'q']","[1.4804370000492781, 1.8993269000202417, 2.257288600085303, 2.6478103001136333]","[0.1968972000759095, 0.1779980999417603, 0.27799830003641546, 0.24723590002395213]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
33,0,33,0,184.56569799990393,,,,,,,,,184.5501747999806,184.56569799990393,185.04760779999197,185.04764020000584,185.06425460008904,190.05375749990344,"['h', 'x', 'q', 'u', 'e']","[1.9579303998034447, 2.7597692999988794, 3.432192999869585, 4.0494201998226345, 4.561402399791405]","[0.17465360020287335, 0.22004459984600544, 0.31956070009619, 0.19538590009324253, 0.24006710015237331]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
34,0,34,0,190.06886460003443,,,,,,,,,190.05630629998632,190.06886460003443,190.55353739997372,190.55359039991163,190.57016550004482,195.54244260000996,"['w', 'h', 'p', 'e']","[0.6914301998913288, 0.9812445000279695, 1.250198099995032, 1.5263642999343574]","[0.19538290007039905, 0.2815616000443697, 0.22697010007686913, 0.2724409999791533]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
35,0,35,0,195.56120550003834,,,,,,,,,195.54579799994826,195.56120550003834,196.0429543000646,196.04298670007847,196.05855459999293,201.04825019999407,"['o', 'a', 't', 's', 'w', 's']","[1.6724792001768947, 1.8494616001844406, 2.1369469000492245, 2.43980300007388, 2.498377799987793, 2.7295413999818265]","[0.17454779986292124, 0.2474724999628961, 0.2172205001115799, 0.15079739992506802, 0.07238060003146529, 0.13786860019899905]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
36,0,36,0,201.06513229990378,,,,,,,,,201.05017199995928,201.06513229990378,201.5491047000978,201.5491426999215,201.56573550007306,206.55444390000775,"['p', 'l', 'g', 'n']","[0.7731255998369306, 3.425113199977204, 4.443773499922827, 4.819773099850863]","[0.1742992999497801, 0.21377979987300932, 0.22480869991704822, 0.13614990003407001]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
37,0,37,0,206.57301399996504,,,,,,,,,206.5574664999731,206.57301399996504,207.0552654999774,207.05531150009483,207.07183749997057,212.04569169995375,"['k', 'c', 'a', 'm']","[0.907068100059405, 1.765872900141403, 2.307273800019175, 2.7999019001144916]","[0.1273761000484228, 0.2655384000390768, 0.34780280012637377, 0.18395829992368817]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
38,0,38,0,212.06511839991435,,,,,,,,,212.05181009997614,212.06511839991435,212.54457119992003,212.54462340008467,212.56100540002808,217.5498041000683,"['c', 'g', 'h', 'z']","[1.121627900050953, 1.8076891000382602, 2.0555489000398666, 2.9030001000501215]","[0.1973818999249488, 0.20799780008383095, 0.17633299995213747, 0.21410789992660284]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
39,0,39,0,217.56726559996605,,,,,,,,,217.55277439998463,217.56726559996605,218.05016020010225,218.05018400005065,218.06692399992608,223.05548859992996,"['n', 'p', 'o', 'a', 'v']","[1.050345900002867, 1.635384100023657, 1.6855236000847071, 2.299056100193411, 2.6170930000953376]","[0.13588350010104477, 0.12881639995612204, 0.16698789992369711, 0.2343780999071896, 0.22615680005401373]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
40,0,40,0,223.0718205999583,,,,,,,,,223.05783659988083,223.0718205999583,223.54026379995048,223.54030649992637,223.55660249991342,228.54589949990623,"['w', 'h', 's', 'u']","[1.0564458998851478, 1.4764383998699486, 1.7638492998667061, 2.0511958999559283]","[0.23242160002700984, 0.18276260001584888, 0.22276620008051395, 0.18195559992454946]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
41,0,41,0,228.5649164998904,,,,,,,,,228.54913670010865,228.5649164998904,229.0466652000323,229.04669720004313,229.06283669988625,234.05153509997763,"['j', 'w', 'x', 'v']","[1.9980675000697374, 2.5232920001726598, 3.4238515000324696, 3.7624158000107855]","[0.1971452001016587, 0.19738049991428852, 0.28869990003295243, 0.15134440013207495]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
42,0,42,0,234.0692837999668,,,,,,,,,234.05432390002534,234.0692837999668,234.5520164000336,234.55207469989546,234.56857610004954,239.54361289995722,"['m', 'n', 'z', 'u']","[0.9437106000259519, 2.0420190000440925, 3.0962968999519944, 3.788830299861729]","[0.17459680000320077, 0.12227869988419116, 0.32312200008891523, 0.19318430009298027]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
43,0,43,0,239.56072669988498,,,,,,,,,239.5461740999017,239.56072669988498,240.04241760005243,240.0424474000465,240.05779549991712,245.0470010000281,"['f', 'k', 't', 'l']","[1.1939284999389201, 1.3344246000051498, 2.3489208000246435, 2.6055657998658717]","[0.17149759992025793, 0.14846489997580647, 0.18818609998561442, 0.15752420015633106]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
44,0,44,0,245.06423930008896,,,,,,,,,245.05029919999652,245.06423930008896,245.54765060008503,245.54768979991786,245.56424209987745,250.5536992000416,"['k', 's', 'r', 'v', 'e', 'k', 'l']","[1.290802099974826, 1.468612500000745, 1.8619934997987002, 2.2858194999862462, 3.0259859999641776, 3.5434777999762446, 4.06410719989799]","[0.12872249982319772, 0.20130419987253845, 0.19702770002186298, 0.1833613000344485, 0.2322837000247091, 0.09669080004096031, 0.14837189996615052]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
